variant,variable,observed_n,imputed_n,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
baseline_pmm,log_gdp_per_capita,604,4,10.073280130872783,9.668225226688678,8.714477082836265,9.342541023524495,11.308419551020663,10.027123113049122
baseline_pmm,unemployment_rate_pc,556,52,8.64658273381295,7.5307692307692315,3.4,3.6,18.325000000000003,15.089999999999998
baseline_pmm,poverty_or_social_exclusion_pc,375,233,22.832533333333334,24.805150214592278,13.58,15.280000000000001,39.230000000000004,41.08
baseline_pmm,government_health_expenditure_gdp_pc,502,106,6.281872509960159,5.580188679245283,3.005,2.5,8.795,7.975
baseline_pmm,compulsory_health_financing_gdp_pc,444,164,6.524752252252251,5.551036585365854,3.992,3.43,9.373999999999999,8.49
baseline_pmm,gini_income,409,199,30.26234718826406,30.287437185929647,23.7,23.7,38.4,39.71
baseline_pmm,physicians_per_100k,431,177,358.74201856148494,355.4989265536723,240.42000000000002,246.342,467.22,457.11199999999997
baseline_pmm,hospital_beds_per_100k,522,86,488.3322030651341,480.6056976744187,246.412,260.4175,779.202,767.855
baseline_pmm,oop_health_expenditure_share_pc,444,164,20.654324324324325,25.867500000000003,10.1925,10.0505,38.369499999999974,44.248999999999995
baseline_pmm,long_term_unemployment_rate_pc,554,54,3.8494584837545123,3.3314814814814815,0.7650000000000002,0.7,12.4,9.979999999999995
