variant,variable,observed_n,imputed_n,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
country_dummies,log_gdp_per_capita,604,4,10.073280130872783,11.320051029249829,8.714477082836265,10.491060405229675,11.308419551020663,11.788015973106559
country_dummies,gdp_per_capita_eur,604,4,31191.82119205298,76596.43400223115,6090.5,15084.506861335294,81505.0,135112.60875819367
country_dummies,unemployment_rate_pc,556,52,8.64658273381295,19.8616431599433,3.4,1.4721412796904398,18.325000000000003,37.27025377854293
country_dummies,poverty_or_social_exclusion_pc,375,233,22.832533333333334,29.8190200540413,13.58,4.493054413765599,39.230000000000004,57.885759458034876
country_dummies,government_health_expenditure_gdp_pc,502,106,6.281872509960159,6.827865659815621,3.005,0.6661831408213659,8.795,13.849427051554004
country_dummies,compulsory_health_financing_gdp_pc,444,164,6.524752252252251,7.441806818011623,3.992,0.6202227632167735,9.373999999999999,14.141978950277084
country_dummies,gini_income,409,199,30.26234718826406,30.503695805589796,23.7,2.4765971196492718,38.4,58.36392635818335
country_dummies,physicians_per_100k,431,177,358.74201856148494,466.73103553845135,240.42000000000002,52.38498959410539,467.22,937.6388625104538
country_dummies,hospital_beds_per_100k,522,86,488.3322030651341,784.3341106783257,246.412,99.04774826231647,779.202,1387.098208831288
country_dummies,oop_health_expenditure_share_pc,444,164,20.654324324324325,27.64315132255992,10.1925,0.0,38.369499999999974,54.487400149429945
country_dummies,long_term_unemployment_rate_pc,554,54,3.8494584837545123,13.783340372051528,0.7650000000000002,0.0,12.4,27.405024858257704
